BioGuideID,GovTrackID,Congress_Session,Chamber,Committee_Code,Parent_Committee_Name,Subcommittee_Name,Role,Is_Subcommittee
C001059,400618,112,house,HSAG,House Committee on Agriculture,,Member,0
C001062,400655,112,house,HSAG,House Committee on Agriculture,,Member,0
C001063,400657,112,house,HSAG,House Committee on Agriculture,,Member,0
C001069,412193,112,house,HSAG,House Committee on Agriculture,,Member,0
C001087,412400,112,house,HSAG,House Committee on Agriculture,,Member,0
D000616,412477,112,house,HSAG,House Committee on Agriculture,,Member,0
E000291,412457,112,house,HSAG,House Committee on Agriculture,,Member,0
F000449,400640,112,house,HSAG,House Committee on Agriculture,,Member,0
F000455,412327,112,house,HSAG,House Committee on Agriculture,,Member,0
G000289,400154,112,house,HSAG,House Committee on Agriculture,,Member,0
G000563,412463,112,house,HSAG,House Committee on Agriculture,,Member,0
G000564,412453,112,house,HSAG,House Committee on Agriculture,,Member,0
H001053,412444,112,house,HSAG,House Committee on Agriculture,,Member,0
H001057,412429,112,house,HSAG,House Committee on Agriculture,,Member,0
H001059,412422,112,house,HSAG,House Committee on Agriculture,,Member,0
K000362,400220,112,house,HSAG,House Committee on Agriculture,,Member,0
L000491,400247,112,house,HSAG,House Committee on Agriculture,,Chair,0
M000312,400263,112,house,HSAG,House Committee on Agriculture,,Member,0
M000485,400266,112,house,HSAG,House Committee on Agriculture,,Member,0
N000182,400441,112,house,HSAG,House Committee on Agriculture,,Member,0
N000184,412475,112,house,HSAG,House Committee on Agriculture,,Member,0
O000169,412383,112,house,HSAG,House Committee on Agriculture,,Member,0
P000258,400316,112,house,HSAG,House Committee on Agriculture,,Ranking Member,0
P000597,412307,112,house,HSAG,House Committee on Agriculture,,Member,0
R000583,412311,112,house,HSAG,House Committee on Agriculture,,Member,0
R000587,412489,112,house,HSAG,House Committee on Agriculture,,Member,0
R000591,412394,112,house,HSAG,House Committee on Agriculture,,Member,0
S001157,400363,112,house,HSAG,House Committee on Agriculture,,Member,0
S001180,412315,112,house,HSAG,House Committee on Agriculture,,Member,0
S001185,412396,112,house,HSAG,House Committee on Agriculture,,Member,0
S001186,412408,112,house,HSAG,House Committee on Agriculture,,Member,0
S001188,412392,112,house,HSAG,House Committee on Agriculture,,Member,0
S001189,412417,112,house,HSAG,House Committee on Agriculture,,Member,0
T000467,412317,112,house,HSAG,House Committee on Agriculture,,Member,0
T000470,412405,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,400207,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,412010,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,412423,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,400183,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,400042,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,400009,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,400065,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,412287,112,house,HSAG,House Committee on Agriculture,,Member,0
UNKNOWN,412312,112,house,HSAG,House Committee on Agriculture,,Member,0
W000799,412214,112,house,HSAG,House Committee on Agriculture,,Member,0
W000800,412239,112,house,HSAG,House Committee on Agriculture,,Member,0
C001059,400618,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
C001059,400618,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Ranking Member,1
C001062,400655,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Chair,1
C001062,400655,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
C001063,400657,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
C001069,412193,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
C001069,412193,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
C001087,412400,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Member,1
C001087,412400,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
C001087,412400,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Member,1
D000616,412477,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
E000291,412457,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
F000449,400640,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Chair,1
F000455,412327,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Ranking Member,1
F000455,412327,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
G000289,400154,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
G000289,400154,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
G000563,412463,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
