BioGuideID,GovtrackID,ICPSR_ID,OpenSecretsID,UnaccentedFirstName,UnaccentedLastName,Gender,Birthday,State,Chamber,Party,TermStart,TermEnd,YearsInCongress
A000374,412630,21522.0,N00036633,Ralph,Abraham,M,1954-09-16,LA,House,R,2015-01-06,2021-01-03,6.0
A000370,412607,21545.0,N00035451,Alma,Adams,F,1946-05-27,NC,House,D,2014-11-12,2027-01-03,12.1
A000055,400004,29701.0,N00003028,Robert,Aderholt,M,1965-07-22,AL,House,R,1997-01-07,2027-01-03,30.0
A000371,412615,21506.0,N00033997,Pete,Aguilar,M,1979-06-19,CA,House,D,2015-01-06,2027-01-03,12.0
A000360,300002,40304.0,N00009888,Lamar,Alexander,M,1940-07-03,TN,Senate,R,2003-01-07,2021-01-03,18.0
A000361,400006,90327.0,N00025464,Rodney,Alexander,M,1946-12-05,LA,House,R,2003-01-07,2013-09-27,10.7
A000379,456909,,N00049617,Mark,Alford,M,1963-10-04,MO,House,R,2023-01-03,2027-01-03,4.0
A000372,412625,21516.0,N00033720,Rick,Allen,M,1951-11-07,GA,House,R,2015-01-06,2027-01-03,12.0
A000376,412828,21900.0,N00040989,Colin,Allred,M,1983-04-15,TX,House,D,2019-01-03,2025-01-03,6.0
A000382,456965,,N00053033,Angela,Alsobrooks,F,1971-02-23,MD,Senate,D,2025-01-03,2031-01-03,6.0
A000367,412438,21143.0,N00031938,Justin,Amash,M,1980-04-18,MI,House,R,2011-01-05,2021-01-03,10.0
A000380,456955,,N00052615,Gabe,Amo,M,1987-12-11,RI,House,D,2023-11-07,2027-01-03,3.2
A000369,412500,21196.0,N00031177,Mark,Amodei,M,1958-06-12,NV,House,R,2011-09-13,2027-01-03,15.3
A000210,400008,29132.0,N00000826,Robert,Andrews,M,1957-08-04,NJ,House,D,1990-11-06,2014-02-18,23.3
A000381,456972,,N00052497,Yassamin,Ansari,F,1992-04-07,AZ,House,D,2025-01-03,2027-01-03,2.0
A000377,412794,21901.0,N00042868,Kelly,Armstrong,M,1976-10-08,ND,House,R,2019-01-03,2024-12-14,5.9
A000375,412726,21700.0,N00038285,Jodey,Arrington,M,1972-03-09,TX,House,R,2017-01-03,2027-01-03,10.0
A000373,412642,,N00005293,Brad,Ashford,M,1949-11-10,NE,House,D,2015-01-06,2017-01-03,2.0
A000148,456825,,N00045506,Jake,Auchincloss,M,1988-01-29,MA,House,D,2021-01-03,2027-01-03,6.0
A000378,412772,21902.0,N00041104,Cynthia,Axne,F,1965-04-20,IA,House,D,2019-01-03,2023-01-03,4.0
A000368,412493,41106.0,N00030980,Kelly,Ayotte,F,1968-06-27,NH,Senate,R,2011-01-05,2017-01-03,6.0
B001291,412655,21551.0,N00005736,Brian,Babin,M,1948-03-23,TX,House,R,2015-01-06,2027-01-03,12.0
B001256,412216,20728.0,N00027493,Michele,Bachmann,F,1956-04-06,MN,House,R,2007-01-04,2015-01-03,8.0
B000013,400010,29301.0,N00008091,Spencer,Bachus,M,1947-12-28,AL,House,R,1993-01-05,2015-01-03,22.0
B001298,412713,21701.0,N00037049,Don,Bacon,M,1963-08-16,NE,House,R,2017-01-03,2027-01-03,10.0
B001307,412777,21903.0,N00041954,James,Baird,M,1945-06-04,IN,House,R,2019-01-03,2027-01-03,8.0
B001306,412747,21759.0,N00042194,Troy,Balderson,M,1962-01-16,OH,House,R,2018-09-05,2027-01-03,8.3
B001230,400013,29940.0,N00004367,Tammy,Baldwin,F,1962-02-11,WI,Senate,D,1999-01-06,2031-01-03,32.0
B001318,456948,,N00049900,Becca,Balint,F,1968-05-04,VT,House,D,2023-01-03,2027-01-03,4.0
B001299,412702,21702.0,N00037185,Jim,Banks,M,1979-07-16,IN,Senate,R,2017-01-03,2031-01-03,14.0
B001279,412502,21199.0,N00033981,Ron,Barber,M,1945-08-25,AZ,House,D,2012-06-12,2015-01-03,2.6
B001269,412469,21171.0,N00025495,Lou,Barletta,M,1956-01-28,PA,House,R,2011-01-05,2019-01-03,8.0
B001282,412541,21333.0,N00031233,Garland,Barr,M,1973-07-24,KY,House,R,2013-01-03,2027-01-03,14.0
B001300,412687,21703.0,N00037019,Nanette,Barragán,F,1976-09-15,CA,House,D,2017-01-03,2027-01-03,10.0
B001261,412251,40707.0,N00006236,John,Barrasso,M,1952-07-21,WY,Senate,R,2007-06-25,2031-01-03,23.5
B001321,456994,,N00049596,Tom,Barrett,M,1981-04-30,MI,House,R,2025-01-03,2027-01-03,2.0
