Parent_Committee_Name,Jurisdictional_N
House Committee on Armed Services,3290
House Committee on Financial Services,2498
House Committee on Energy and Commerce,1971
"House Committee on Science, Space, and Technology",1570
House Committee on Agriculture,780
"Senate Committee on Banking, Housing, and Urban Affairs",708
House Committee on Veterans' Affairs,644
Senate Committee on Armed Services,582
House Committee on Education and the Workforce,571
"Senate Committee on Commerce, Science, and Transportation",520
Senate Committee on Finance,491
House Committee on Transportation and Infrastructure,473
"Senate Committee on Agriculture, Nutrition, and Forestry",463
Senate Committee on Environment and Public Works,435
"Senate Committee on Health, Education, Labor, and Pensions",365
House Committee on Natural Resources,213
Senate Committee on Veterans' Affairs,210
Senate Committee on Energy and Natural Resources,104
House Committee on Education and Labor,15
Senate Committee on Indian Affairs,13
Senate Committee on Small Business and Entrepreneurship,5
