Ticker,Sector,Industry
MCK,Healthcare,Medical Distribution
MURGY,Financial Services,Insurance - Reinsurance
WEX,Technology,Software - Infrastructure
SAN,Financial Services,Banks - Diversified
KMB,Consumer Defensive,Household & Personal Products
D,Utilities,Utilities - Regulated Electric
BMRRY,Consumer Defensive,Discount Stores
JNJ,Healthcare,Drug Manufacturers - General
UI,Technology,Communication Equipment
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic
RBLX,Communication Services,Electronic Gaming & Multimedia
DQJCY,Consumer Defensive,Discount Stores
MDT,Healthcare,Medical Devices
AMZA,Broad Market / ETF,Broad Market / ETF
AVGO,Technology,Semiconductors
CGNX,Technology,Scientific & Technical Instruments
DOV,Industrials,Specialty Industrial Machinery
NBR,Energy,Oil & Gas Drilling
DIAL,Broad Market / ETF,Broad Market / ETF
BEN,Financial Services,Asset Management
VNO,Real Estate,REIT - Office
DOCU,Technology,Software - Application
ARWR,Healthcare,Biotechnology
EXC,Utilities,Utilities - Regulated Electric
CARG,Consumer Cyclical,Auto & Truck Dealerships
TLH,Broad Market / ETF,Broad Market / ETF
AOS,Industrials,Specialty Industrial Machinery
SGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SRPT,Healthcare,Biotechnology
FLL,Consumer Cyclical,Resorts & Casinos
SPGI,Financial Services,Financial Data & Stock Exchanges
GBERY,Industrials,Building Products & Equipment
NI,Utilities,Utilities - Regulated Gas
RHP,Real Estate,REIT - Hotel & Motel
SSNC,Technology,Software - Application
TCTZF,Communication Services,Internet Content & Information
ALGM,Technology,Semiconductors
TRNO,Real Estate,REIT - Industrial
KLAC,Technology,Semiconductor Equipment & Materials
SDZNY,Healthcare,Drug Manufacturers - Specialty & Generic
EMR,Industrials,Specialty Industrial Machinery
USPH,Healthcare,Medical Care Facilities
BDNNY,Basic Materials,Other Industrial Metals & Mining
EMN,Basic Materials,Specialty Chemicals
ELS,Real Estate,REIT - Residential
HAS,Consumer Cyclical,Leisure
YUM,Consumer Cyclical,Restaurants
FNF,Financial Services,Insurance - Specialty
BCRX,Healthcare,Drug Manufacturers - Specialty & Generic
TWLO,Technology,Software - Infrastructure
SAM,Consumer Defensive,Beverages - Brewers
TEX,Industrials,Farm & Heavy Construction Machinery
AMLX,Healthcare,Drug Manufacturers - Specialty & Generic
HAL,Energy,Oil & Gas Equipment & Services
HVRRY,Financial Services,Insurance - Reinsurance
QYLD,Broad Market / ETF,Broad Market / ETF
AAP,Consumer Cyclical,Auto Parts
NNN,Real Estate,REIT - Retail
TDC,Technology,Software - Infrastructure
KOD,Healthcare,Biotechnology
AEE,Utilities,Utilities - Regulated Electric
NCLH,Consumer Cyclical,Travel Services
CTRE,Real Estate,REIT - Healthcare Facilities
NVO,Healthcare,Drug Manufacturers - General
COLD,Real Estate,REIT - Industrial
DIN,Consumer Cyclical,Restaurants
LBTYK,Communication Services,Telecom Services
WBI,Energy,Oil & Gas Equipment & Services
SSREY,Financial Services,Insurance - Reinsurance
AGIO,Healthcare,Biotechnology
CHGG,Consumer Defensive,Education & Training Services
NOC,Industrials,Aerospace & Defense
FIXD,Broad Market / ETF,Broad Market / ETF
KIM,Real Estate,REIT - Retail
KO,Consumer Defensive,Beverages - Non-Alcoholic
TTD,Communication Services,Advertising Agencies
PATK,Consumer Cyclical,Recreational Vehicles
PHIN,Consumer Cyclical,Auto Parts
FPEI,Broad Market / ETF,Broad Market / ETF
DNPLY,Industrials,Conglomerates
NLY,Real Estate,REIT - Mortgage
TRP,Energy,Oil & Gas Midstream
FIS,Technology,Information Technology Services
INSM,Healthcare,Biotechnology
EXE,Energy,Oil & Gas E&P
VZ,Communication Services,Telecom Services
TSCDY,Consumer Defensive,Grocery Stores
LITE,Technology,Communication Equipment
RCL,Consumer Cyclical,Travel Services
EW,Healthcare,Medical Devices
UUUU,Energy,Uranium
BCC,Basic Materials,Lumber & Wood Production
SBNY,Financial Services,Banks - Regional
ICUI,Healthcare,Medical Instruments & Supplies
LGN,Industrials,Engineering & Construction
WCN,Industrials,Waste Management
GEHC,Healthcare,Medical Devices
NGL,Energy,Oil & Gas Midstream
AZTA,Healthcare,Medical Instruments & Supplies
TIP,Broad Market / ETF,Broad Market / ETF
PAYX,Technology,Software - Application
ALAB,Technology,Semiconductors
LLY,Healthcare,Drug Manufacturers - General
ESLOY,Healthcare,Medical Instruments & Supplies
RBGLY,Consumer Defensive,Household & Personal Products
LSTR,Industrials,Integrated Freight & Logistics
NYT,Communication Services,Publishing
TRYIY,Consumer Cyclical,Textile Manufacturing
MMM,Industrials,Conglomerates
LESL,Consumer Cyclical,Specialty Retail
HESAF,Consumer Cyclical,Luxury Goods
BNTX,Healthcare,Biotechnology
NEO,Healthcare,Diagnostics & Research
JD,Consumer Cyclical,Internet Retail
SIRI,Communication Services,Entertainment
CWH,Consumer Cyclical,Auto & Truck Dealerships
CRNC,Technology,Software - Application
LAD,Consumer Cyclical,Auto & Truck Dealerships
IXJ,Broad Market / ETF,Broad Market / ETF
SE,Consumer Cyclical,Internet Retail
TKAMY,Industrials,Conglomerates
ABBV,Healthcare,Drug Manufacturers - General
MLKN,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
VRAI,Broad Market / ETF,Broad Market / ETF
PD,Technology,Software - Application
RLMD,Healthcare,Biotechnology
BDX,Healthcare,Medical Instruments & Supplies
ARCC,Financial Services,Asset Management
IFNNY,Technology,Semiconductors
HWM,Industrials,Aerospace & Defense
BBY,Consumer Cyclical,Specialty Retail
SGBLY,Financial Services,Banks - Regional
AROC,Energy,Oil & Gas Equipment & Services
PCG,Utilities,Utilities - Regulated Electric
EGIEY,Utilities,Utilities - Renewable
ODFL,Industrials,Trucking
AQB,Consumer Defensive,Farm Products
NWBI,Financial Services,Banks - Regional
OGE,Utilities,Utilities - Regulated Electric
BCE,Communication Services,Telecom Services
OKTA,Technology,Software - Infrastructure
XRAY,Healthcare,Medical Instruments & Supplies
NOV,Energy,Oil & Gas Equipment & Services
MBFJF,Financial Services,Banks - Diversified
GSK,Healthcare,Drug Manufacturers - General
ZBH,Healthcare,Medical Devices
WU,Financial Services,Credit Services
SONVY,Healthcare,Medical Devices
MT,Basic Materials,Steel
VOO,Broad Market / ETF,Broad Market / ETF
STE,Healthcare,Medical Devices
BALL,Consumer Cyclical,Packaging & Containers
SZKMY,Consumer Cyclical,Auto Manufacturers
KMI,Energy,Oil & Gas Midstream
SOLS,Basic Materials,Specialty Chemicals
IDXX,Healthcare,Diagnostics & Research
TRMB,Technology,Scientific & Technical Instruments
CNA,Financial Services,Insurance - Property & Casualty
ILMN,Healthcare,Diagnostics & Research
TOELY,Technology,Semiconductor Equipment & Materials
FCX,Basic Materials,Copper
SPOT,Communication Services,Internet Content & Information
CC,Basic Materials,Specialty Chemicals
NICE,Technology,Software - Application
H,Consumer Cyclical,Lodging
EQIX,Real Estate,REIT - Specialty
GVA,Industrials,Engineering & Construction
CIVI,Energy,Oil & Gas E&P
WRDLY,Technology,Software - Infrastructure
YARIY,Basic Materials,Agricultural Inputs
XIACF,Technology,Consumer Electronics
KPLT,Technology,Software - Infrastructure
WJRYY,Industrials,Railroads
XEL,Utilities,Utilities - Regulated Electric
ACIW,Technology,Software - Infrastructure
CHRS,Healthcare,Biotechnology
FQAL,Broad Market / ETF,Broad Market / ETF
RLJ,Real Estate,REIT - Hotel & Motel
NCBDY,Consumer Cyclical,Leisure
VICR,Technology,Electronic Components
PSMMY,Consumer Cyclical,Residential Construction
MAR,Consumer Cyclical,Lodging
CHGCY,Healthcare,Drug Manufacturers - General
STNG,Energy,Oil & Gas Midstream
KB,Financial Services,Banks - Regional
WEC,Utilities,Utilities - Regulated Electric
AXTA,Basic Materials,Specialty Chemicals
ED,Utilities,Utilities - Regulated Electric
SOFI,Financial Services,Credit Services
AMP,Financial Services,Asset Management
ADRNY,Consumer Defensive,Grocery Stores
LVMHF,Consumer Cyclical,Luxury Goods
RBA,Industrials,Specialty Business Services
FRCOY,Consumer Cyclical,Apparel Retail
GGG,Industrials,Specialty Industrial Machinery
IRM,Real Estate,REIT - Specialty
LVMUY,Consumer Cyclical,Luxury Goods
LNC,Financial Services,Insurance - Life
CHPT,Consumer Cyclical,Specialty Retail
DLR,Real Estate,REIT - Specialty
ZLNDY,Consumer Cyclical,Internet Retail
SHYG,Broad Market / ETF,Broad Market / ETF
PWP,Financial Services,Capital Markets
LZ,Industrials,Specialty Business Services
IEUR,Broad Market / ETF,Broad Market / ETF
CSL,Industrials,Building Products & Equipment
HASI,Financial Services,Asset Management
SYF,Financial Services,Credit Services
LIN,Basic Materials,Specialty Chemicals
MRP,Real Estate,REIT - Residential
AEG,Financial Services,Insurance - Diversified
OTSKY,Healthcare,Drug Manufacturers - General
VO,Broad Market / ETF,Broad Market / ETF
MHVIY,Industrials,Specialty Industrial Machinery
VLO,Energy,Oil & Gas Refining & Marketing
VWAPY,Consumer Cyclical,Auto Manufacturers
TLK,Communication Services,Telecom Services
VMC,Basic Materials,Building Materials
GDDY,Technology,Software - Infrastructure
FBRT,Real Estate,REIT - Mortgage
ORLY,Consumer Cyclical,Auto Parts
CDNA,Healthcare,Diagnostics & Research
JOE,Real Estate,Real Estate - Diversified
FOUR,Technology,Software - Infrastructure
HPQ,Technology,Computer Hardware
ING,Financial Services,Banks - Diversified
