Committee_Code,Parent_Committee_Name,Subcommittee_Name
HLET,House Committee on Ethics,
HLIG,House Permanent Select Committee on Intelligence,
HLIG-01,House Permanent Select Committee on Intelligence,Central Intelligence Agency Subcommittee
HLIG-02,House Permanent Select Committee on Intelligence,National Security Agency and Cybersecurity Subcommittee
HLIG-03,House Permanent Select Committee on Intelligence,Emerging Threats Subcommittee
HLIG-04,House Permanent Select Committee on Intelligence,Department of Defense Intelligence and Overhead Architecture Subcommittee
HLIG-05,House Permanent Select Committee on Intelligence,Technical and Tactical Intelligence Subcommittee
HLIG-06,House Permanent Select Committee on Intelligence,Defense Intelligence and Warfighter Support Subcommittee
HLIG-08,House Permanent Select Committee on Intelligence,"Terrorism, Human Intelligence, Analysis, and Counterintelligence Subcommittee"
HLIG-09,House Permanent Select Committee on Intelligence,Oversight and Investigations Subcommittee
HLIG-10,House Permanent Select Committee on Intelligence,Strategic Technologies and Advanced Research Subcommittee
HLIG-11,House Permanent Select Committee on Intelligence,Open Source Intelligence Subcommittee
HLZI,House Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,
HSAG,House Committee on Agriculture,
HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee
HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee"
HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee"
HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee
HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee"
HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee"
HSAP,House Committee on Appropriations,
HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee"
HSAP-02,House Committee on Appropriations,Defense Subcommittee
HSAP-04,House Committee on Appropriations,"State, Foreign Operations, and Related Programs Subcommittee"
HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee"
HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee"
HSAP-10,House Committee on Appropriations,"Energy and Water Development, and Related Agencies Subcommittee"
HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee
HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee"
HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee"
HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee"
HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee
HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee
HSAS,House Committee on Armed Services,
HSAS-02,House Committee on Armed Services,Military Personnel Subcommittee
HSAS-03,House Committee on Armed Services,Readiness Subcommittee
HSAS-06,House Committee on Armed Services,Oversight and Investigations Subcommittee
HSAS-25,House Committee on Armed Services,Tactical Air and Land Forces Subcommittee
HSAS-26,House Committee on Armed Services,Emerging Threats and Capabilities Subcommittee
HSAS-28,House Committee on Armed Services,Seapower and Projection Forces Subcommittee
HSAS-29,House Committee on Armed Services,Strategic Forces Subcommittee
HSAS-35,House Committee on Armed Services,"Cyber, Innovative Technologies, and Information Systems Subcommittee"
HSBA,House Committee on Financial Services,
HSBA-01,House Committee on Financial Services,Terrorism and Illicit Finance Subcommittee
HSBA-04,House Committee on Financial Services,"Insurance, Housing and Community Opportunity Subcommittee"
HSBA-09,House Committee on Financial Services,Oversight and Investigations Subcommittee
HSBA-10,House Committee on Financial Services,"National Security, Illicit Finance, and International Financial Institutions Subcommittee"
HSBA-13,House Committee on Financial Services,Diversity and Inclusion Subcommittee
HSBA-15,House Committee on Financial Services,Financial Institutions and Consumer Credit Subcommittee
HSBA-16,House Committee on Financial Services,Capital Markets and Government Sponsored Enterprises Subcommittee
HSBA-19,House Committee on Financial Services,Domestic Monetary Policy and Technology Subcommittee
HSBA-20,House Committee on Financial Services,International Monetary Policy and Trade Subcommittee
HSBA-21,House Committee on Financial Services,"Digital Assets, Financial Technology and Inclusion Subcommittee"
HSBU,House Committee on the Budget,
HSCN,House Select Committee on the Climate Crisis,
HSED,House Committee on Education and the Workforce,
HSED-02,House Committee on Education and the Workforce,"Health, Employment, Labor, and Pensions Subcommittee"
HSED-07,House Committee on Education and Labor,Civil Rights and Human Services Subcommittee
HSED-10,House Committee on Education and the Workforce,Workforce Protections Subcommittee
HSED-13,House Committee on Education and the Workforce,Higher Education and Workforce Training Subcommittee
HSED-14,House Committee on Education and the Workforce,"Early Childhood, Elementary, and Secondary Education Subcommittee"
HSEF,House Select Committee on Economic Disparity and Fairness in Growth,
HSFA,House Committee on Foreign Affairs,
HSFA-05,House Committee on Foreign Affairs,Asia and the Pacific Subcommittee
HSFA-06,House Committee on Foreign Affairs,"Global Health, Global Human Rights, and International Organizations Subcommittee"
HSFA-07,House Committee on Foreign Affairs,The Western Hemisphere Subcommittee
HSFA-13,House Committee on Foreign Affairs,The Middle East and South Asia Subcommittee
HSFA-14,House Committee on Foreign Affairs,Europe and Eurasia Subcommittee
HSFA-16,House Committee on Foreign Affairs,"Africa, Global Health, and Human Rights Subcommittee"
HSFA-17,House Committee on Foreign Affairs,Oversight and Investigations Subcommittee
HSFA-18,House Committee on Foreign Affairs,"Terrorism, Nonproliferation, and Trade Subcommittee"
HSFA-19,House Committee on Foreign Affairs,South and Central Asia Subcommittee
HSFD,House Select Subcommittee on the Weaponization of the Federal Government,
HSGO,House Committee on Oversight and Government Reform,
HSGO-02,House Committee on Oversight and Reform,Civil Rights and Civil Liberties Subcommittee
HSGO-05,House Committee on Oversight and Reform,Economic and Consumer Policy Subcommittee
HSGO-06,House Committee on Oversight and Government Reform,"National Security, Homeland Defense and Foreign Operations Subcommittee"
HSGO-12,House Committee on Oversight and Accountability,"Cybersecurity, Information Technology, and Government Innovation Subcommittee"
HSGO-16,House Committee on Oversight and Government Reform,Delivering on Government Efficiency Subcommittee
HSGO-24,House Committee on Oversight and Government Reform,"Government Organization, Efficiency and Financial Management Subcommittee"
HSGO-25,House Committee on Oversight and Government Reform,"Federal Workforce, U.S. Postal Service and Labor Policy Subcommittee"
HSGO-27,House Committee on Oversight and Government Reform,"Health Care, District of Columbia, Census and the National Archives Subcommittee"
HSGO-28,House Committee on Oversight and Government Reform,"Regulatory Affairs, Stimulus Oversight and Government Spending Subcommittee"
