House Committee on Agriculture
"House Committee on Agriculture;Conservation, Energy, and Forestry Subcommittee"
"House Committee on Agriculture;Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee"
House Committee on Agriculture;General Farm Commodities and Risk Management Subcommittee
"House Committee on Agriculture;Livestock, Dairy, and Poultry Subcommittee"
"House Committee on Agriculture;Department Operations, Oversight, and Credit Subcommittee"
House Committee on Agriculture;Nutrition and Horticulture Subcommittee
House Committee on Appropriations
"House Committee on Appropriations;Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee"
"House Committee on Appropriations;Commerce, Justice, Science, and Related Agencies Subcommittee"
House Committee on Appropriations;Homeland Security Subcommittee
"House Committee on Appropriations;Energy and Water Development, and Related Agencies Subcommittee"
House Committee on Appropriations;Financial Services and General Government Subcommittee
"House Committee on Appropriations;Labor, Health and Human Services, Education, and Related Agencies Subcommittee"
House Committee on Appropriations;Legislative Branch Subcommittee
"House Committee on Appropriations;Military Construction, Veterans Affairs, and Related Agencies Subcommittee"
House Committee on Appropriations;Defense Subcommittee
"House Committee on Appropriations;Interior, Environment, and Related Agencies Subcommittee"
"House Committee on Appropriations;Transportation, and Housing and Urban Development, and Related Agencies Subcommittee"
"House Committee on Appropriations;State, Foreign Operations, and Related Programs Subcommittee"
House Committee on Armed Services
House Committee on Armed Services;Emerging Threats and Capabilities Subcommittee
House Committee on Armed Services;Oversight and Investigations Subcommittee
House Committee on Armed Services;Military Personnel Subcommittee
House Committee on Armed Services;Readiness Subcommittee
House Committee on Armed Services;Strategic Forces Subcommittee
House Committee on Armed Services;Tactical Air and Land Forces Subcommittee
House Committee on Armed Services;Seapower and Projection Forces Subcommittee
House Committee on Education and the Workforce
House Committee on Education and the Workforce;Higher Education and Workforce Training Subcommittee
"House Committee on Education and the Workforce;Health, Employment, Labor, and Pensions Subcommittee"
House Committee on Education and the Workforce;Workforce Protections Subcommittee
"House Committee on Education and the Workforce;Early Childhood, Elementary, and Secondary Education Subcommittee"
House Committee on Energy and Commerce
"House Committee on Energy and Commerce;Commerce, Manufacturing, and Trade Subcommittee"
House Committee on Energy and Commerce;Communications and Technology Subcommittee
House Committee on Energy and Commerce;Energy and Power Subcommittee
House Committee on Energy and Commerce;Environment and the Economy Subcommittee
House Committee on Energy and Commerce;Health Subcommittee
House Committee on Energy and Commerce;Oversight and Investigations Subcommittee
House Committee on Ethics
House Committee on Financial Services
House Committee on Financial Services;International Monetary Policy and Trade Subcommittee
House Committee on Financial Services;Oversight and Investigations Subcommittee
"House Committee on Financial Services;Insurance, Housing and Community Opportunity Subcommittee"
House Committee on Financial Services;Financial Institutions and Consumer Credit Subcommittee
House Committee on Financial Services;Domestic Monetary Policy and Technology Subcommittee
House Committee on Financial Services;Capital Markets and Government Sponsored Enterprises Subcommittee
House Committee on Foreign Affairs
