Portfolio,Alpha_Ann,Alpha_tstat,Mkt_Beta,Mkt_tstat,SMB,HML,UMD,Adj_R2,N_obs,Alpha_Ann_%
House_Jur_Buy_20d,-0.73,-0.24,1.02,47.11,0.08,0.09,-0.08,0.75,3023,-0.73
House_Jur_Sell_20d,-12.37,-3.95,0.98,48.11,0.1,0.02,-0.12,0.719,3058,-12.37***
House_NonJur_Buy_20d,-6.18,-3.53,1.01,82.72,0.12,0.13,-0.1,0.879,3201,-6.18***
House_NonJur_Sell_20d,-4.51,-1.74,1.01,51.47,0.11,0.13,-0.05,0.725,3233,-4.51*
House_Spread_Buy_20d,7.24,2.25,0.02,0.94,-0.03,-0.05,0.03,0.006,3010,7.24**
House_Spread_Sell_20d,8.61,2.29,0.03,1.63,0.01,0.11,0.07,0.014,3058,8.61**
Senate_Jur_Buy_20d,-7.5,-0.91,0.89,7.66,0.24,0.25,-0.15,0.203,2596,-7.5
Senate_Jur_Sell_20d,-17.77,-2.66,0.9,17.52,0.08,0.18,-0.14,0.39,2599,-17.77***
Senate_NonJur_Buy_20d,-14.07,-2.73,1.12,38.84,0.14,0.05,-0.04,0.603,2932,-14.07***
Senate_NonJur_Sell_20d,-11.84,-2.48,1.07,31.87,0.14,0.1,-0.04,0.594,2990,-11.84**
Senate_Spread_Buy_20d,9.1,0.93,-0.22,-1.83,0.12,0.21,-0.09,0.018,2473,9.1
Senate_Spread_Sell_20d,5.36,0.67,0.17,2.81,0.07,-0.09,0.1,0.022,2575,5.36
House_Jur_Buy_130d,-5.3,-3.03,1.01,72.74,0.08,0.08,-0.09,0.895,3122,-5.3***
House_Jur_Sell_130d,-7.72,-4.1,0.99,54.83,0.08,0.02,-0.11,0.89,3180,-7.72***
House_NonJur_Buy_130d,-4.37,-3.27,1.0,81.19,0.11,0.14,-0.12,0.929,3357,-4.37***
House_NonJur_Sell_130d,-3.84,-2.37,1.0,74.9,0.11,0.13,-0.08,0.913,3379,-3.84**
House_Spread_Buy_130d,-0.54,-0.31,0.01,1.67,-0.04,-0.05,0.02,0.023,3122,-0.54
House_Spread_Sell_130d,4.34,2.19,0.02,2.61,0.03,0.11,0.02,0.043,3180,4.34**
Senate_Jur_Buy_130d,-6.82,-1.95,0.99,23.86,0.1,0.2,-0.09,0.656,3343,-6.82*
Senate_Jur_Sell_130d,-7.81,-2.71,0.94,32.05,0.06,0.2,-0.14,0.774,2999,-7.81***
Senate_NonJur_Buy_130d,-7.96,-3.18,1.1,56.67,0.13,0.07,-0.01,0.841,3131,-7.96***
Senate_NonJur_Sell_130d,-7.6,-2.69,1.03,57.46,0.14,0.13,-0.06,0.782,3214,-7.6***
Senate_Spread_Buy_130d,0.96,0.26,-0.13,-2.92,-0.01,0.12,-0.08,0.051,3131,0.96
Senate_Spread_Sell_130d,0.54,0.16,0.11,3.69,0.08,-0.06,0.1,0.053,2999,0.54
House_Jur_Buy_255d,-4.31,-2.71,1.0,65.79,0.08,0.08,-0.1,0.907,3145,-4.31***
House_Jur_Sell_255d,-6.94,-4.06,0.98,54.22,0.08,0.03,-0.13,0.908,3189,-6.94***
House_NonJur_Buy_255d,-4.53,-3.57,1.0,84.88,0.1,0.15,-0.12,0.938,3377,-4.53***
House_NonJur_Sell_255d,-4.77,-3.44,1.0,67.25,0.11,0.13,-0.1,0.948,3379,-4.77***
House_Spread_Buy_255d,0.5,0.34,0.01,1.39,-0.03,-0.07,0.01,0.032,3145,0.5
House_Spread_Sell_255d,2.18,1.42,0.03,4.02,0.03,0.1,0.02,0.053,3189,2.18
Senate_Jur_Buy_255d,-2.66,-0.97,0.98,31.7,0.04,0.19,-0.13,0.745,3343,-2.66
Senate_Jur_Sell_255d,-6.86,-3.27,0.94,33.19,0.04,0.2,-0.13,0.858,2999,-6.86***
Senate_NonJur_Buy_255d,-3.95,-1.69,1.06,78.18,0.11,0.09,-0.06,0.866,3189,-3.95*
Senate_NonJur_Sell_255d,-8.22,-2.63,1.04,40.65,0.12,0.14,-0.09,0.785,3254,-8.22***
Senate_Spread_Buy_255d,1.26,0.41,-0.09,-2.65,-0.07,0.1,-0.07,0.05,3189,1.26
Senate_Spread_Sell_255d,-0.72,-0.25,0.12,5.66,0.07,-0.05,0.06,0.079,2999,-0.72
