Portfolio,Alpha_Ann,Alpha_tstat,Mkt_Beta,Mkt_tstat,SMB,HML,UMD,Adj_R2,N_obs,Alpha_Ann_%
D_Jur_Buy_20d,0.61,0.14,1.08,38.39,0.06,0.11,-0.06,0.672,2979,0.61
D_Jur_Sell_20d,-10.29,-2.31,1.03,43.99,0.13,0.06,-0.09,0.605,2897,-10.29**
D_NonJur_Buy_20d,-6.38,-3.8,1.01,89.55,0.08,0.07,-0.09,0.889,3091,-6.38***
D_NonJur_Sell_20d,-4.5,-1.52,1.01,42.07,0.09,0.06,-0.08,0.822,3187,-4.5
D_Spread_Buy_20d,8.11,1.77,0.07,2.52,-0.02,0.04,0.03,0.006,2911,8.11*
D_Spread_Sell_20d,5.58,1.05,-0.02,-0.73,-0.03,-0.0,0.01,-0.0,2897,5.58
R_Jur_Buy_20d,-5.15,-1.16,0.86,20.84,0.17,0.16,-0.09,0.492,2956,-5.15
R_Jur_Sell_20d,-11.58,-2.87,0.88,25.08,0.09,0.03,-0.14,0.545,2975,-11.58***
R_NonJur_Buy_20d,-5.7,-2.48,1.01,68.31,0.13,0.21,-0.1,0.842,3160,-5.7**
R_NonJur_Sell_20d,-6.98,-2.11,1.02,52.09,0.12,0.22,-0.01,0.666,3144,-6.98**
R_Spread_Buy_20d,1.62,0.33,-0.15,-3.86,0.04,-0.05,0.01,0.019,2943,1.62
R_Spread_Sell_20d,4.82,1.08,0.14,4.43,0.02,0.19,0.13,0.038,2975,4.82
D_Jur_Buy_130d,-3.99,-1.57,1.06,82.98,0.05,0.09,-0.05,0.804,3343,-3.99
D_Jur_Sell_130d,-11.35,-4.67,1.02,62.86,0.1,0.05,-0.12,0.856,3088,-11.35***
D_NonJur_Buy_130d,-4.73,-3.23,1.0,87.06,0.08,0.08,-0.1,0.912,3296,-4.73***
D_NonJur_Sell_130d,-5.38,-3.19,1.0,53.36,0.1,0.07,-0.12,0.921,3379,-5.38***
D_Spread_Buy_130d,-0.41,-0.15,0.06,4.07,-0.03,0.02,0.05,0.012,3262,-0.41
D_Spread_Sell_130d,6.1,2.37,-0.01,-1.09,0.0,0.02,-0.0,0.001,3088,6.1**
R_Jur_Buy_130d,-7.99,-3.58,0.92,38.16,0.12,0.14,-0.12,0.794,3122,-7.99***
R_Jur_Sell_130d,-6.62,-3.05,0.94,45.71,0.06,0.08,-0.12,0.847,3121,-6.62***
R_NonJur_Buy_130d,-4.18,-2.75,1.02,63.08,0.13,0.22,-0.1,0.931,3250,-4.18***
R_NonJur_Sell_130d,-4.78,-2.27,1.01,90.96,0.13,0.2,-0.03,0.832,3254,-4.78**
R_Spread_Buy_130d,-3.6,-1.61,-0.1,-5.74,-0.01,-0.07,-0.02,0.038,3122,-3.6
R_Spread_Sell_130d,2.24,1.07,0.08,4.16,0.07,0.13,0.08,0.066,3121,2.24
D_Jur_Buy_255d,-4.25,-1.83,1.05,80.36,0.06,0.09,-0.06,0.823,3343,-4.25*
D_Jur_Sell_255d,-8.24,-4.12,1.02,66.64,0.09,0.06,-0.14,0.891,3088,-8.24***
D_NonJur_Buy_255d,-5.26,-3.68,1.0,83.83,0.07,0.08,-0.12,0.911,3377,-5.26***
D_NonJur_Sell_255d,-6.11,-3.91,1.01,49.86,0.1,0.07,-0.14,0.939,3379,-6.11***
D_Spread_Buy_255d,0.95,0.38,0.05,4.51,-0.01,0.01,0.05,0.014,3343,0.95
D_Spread_Sell_255d,1.62,0.76,-0.0,-0.37,0.01,0.02,-0.01,0.001,3088,1.62
R_Jur_Buy_255d,-3.79,-2.18,0.92,52.55,0.08,0.1,-0.15,0.864,3145,-3.79**
R_Jur_Sell_255d,-6.35,-3.24,0.94,47.33,0.06,0.09,-0.14,0.875,3189,-6.35***
R_NonJur_Buy_255d,-3.81,-2.79,1.01,78.65,0.12,0.23,-0.09,0.948,3250,-3.81***
R_NonJur_Sell_255d,-4.93,-2.8,1.01,80.25,0.12,0.2,-0.06,0.914,3254,-4.93***
R_Spread_Buy_255d,0.12,0.06,-0.08,-6.62,-0.05,-0.13,-0.06,0.079,3145,0.12
R_Spread_Sell_255d,2.5,1.49,0.07,4.82,0.06,0.11,0.08,0.072,3189,2.5
