Portfolio,Alpha_Ann,Alpha_tstat,Mkt_Beta,Mkt_tstat,SMB,HML,UMD,Adj_R2,N_obs,Alpha_Ann_%
Frequent_Jur_Buy_20d,-0.85,-0.29,1.02,40.09,0.07,0.09,-0.11,0.762,3103,-0.85
Frequent_Jur_Sell_20d,-11.15,-4.04,0.99,54.8,0.07,0.04,-0.11,0.753,3047,-11.15***
Frequent_NonJur_Buy_20d,-5.6,-3.54,1.02,93.76,0.11,0.14,-0.1,0.915,3159,-5.6***
Frequent_NonJur_Sell_20d,-5.39,-1.99,1.02,50.75,0.11,0.14,-0.04,0.872,3148,-5.39**
Frequent_Spread_Buy_20d,5.74,1.88,0.0,0.18,-0.03,-0.05,-0.01,0.003,3035,5.74*
Frequent_Spread_Sell_20d,6.33,1.81,0.03,1.86,0.04,0.09,0.06,0.013,3047,6.33*
Infrequent_Jur_Buy_20d,,Not Estimable,,,,,,,0,Not Estimable
Infrequent_Jur_Sell_20d,34.58,0.77,0.8,9.3,0.36,0.43,-0.09,0.364,99,34.58
Infrequent_NonJur_Buy_20d,-48.34,-1.09,1.16,11.71,0.34,-0.34,0.79,0.478,211,-48.34
Infrequent_NonJur_Sell_20d,-14.91,-0.67,0.74,8.27,-0.19,0.09,0.09,0.139,658,-14.91
Infrequent_Spread_Sell_20d,,Not Estimable,,,,,,,56,Not Estimable
Frequent_Jur_Buy_130d,-4.93,-2.51,1.02,74.32,0.05,0.11,-0.1,0.853,3343,-4.93**
Frequent_Jur_Sell_130d,-6.56,-3.6,0.98,57.64,0.08,0.06,-0.11,0.893,3180,-6.56***
Frequent_NonJur_Buy_130d,-4.41,-3.53,1.0,86.77,0.1,0.14,-0.11,0.952,3250,-4.41***
Frequent_NonJur_Sell_130d,-4.35,-2.73,1.02,83.54,0.11,0.14,-0.08,0.935,3258,-4.35***
Frequent_Spread_Buy_130d,-1.24,-0.67,0.01,1.57,-0.05,-0.03,0.02,0.009,3250,-1.24
Frequent_Spread_Sell_130d,1.73,0.95,0.03,3.41,0.03,0.08,0.02,0.03,3180,1.73
Infrequent_Jur_Buy_130d,,Not Estimable,,,,,,,0,Not Estimable
Infrequent_Jur_Sell_130d,-10.23,-0.64,0.96,19.57,0.14,0.48,-0.08,0.424,588,-10.23
Infrequent_NonJur_Buy_130d,-42.53,-3.4,1.22,12.56,0.26,-0.31,0.56,0.419,976,-42.53***
Infrequent_NonJur_Sell_130d,-6.71,-0.71,0.92,10.05,-0.1,0.1,0.09,0.273,2322,-6.71
Infrequent_Spread_Sell_130d,-13.79,-0.61,-0.24,-2.55,0.04,-0.47,0.29,0.142,505,-13.79
Frequent_Jur_Buy_255d,-3.35,-1.78,1.01,73.57,0.05,0.12,-0.1,0.869,3343,-3.35*
Frequent_Jur_Sell_255d,-6.28,-3.75,0.98,58.64,0.08,0.06,-0.13,0.91,3189,-6.28***
Frequent_NonJur_Buy_255d,-3.97,-3.41,1.0,85.98,0.1,0.15,-0.11,0.959,3250,-3.97***
Frequent_NonJur_Sell_255d,-5.02,-3.32,1.02,68.33,0.11,0.14,-0.1,0.949,3258,-5.02***
Frequent_Spread_Buy_255d,-0.05,-0.03,0.01,1.28,-0.04,-0.04,0.01,0.011,3250,-0.05
Frequent_Spread_Sell_255d,1.03,0.68,0.04,5.33,0.03,0.08,0.02,0.041,3189,1.03
Infrequent_Jur_Buy_255d,,Not Estimable,,,,,,,0,Not Estimable
Infrequent_Jur_Sell_255d,9.98,0.9,0.93,24.59,0.13,0.58,-0.06,0.409,1024,9.98
Infrequent_NonJur_Buy_255d,-20.78,-2.29,1.22,17.03,0.16,-0.32,0.52,0.44,1578,-20.78**
Infrequent_NonJur_Sell_255d,-5.1,-0.89,0.91,25.78,0.01,0.1,-0.03,0.486,2748,-5.1
Infrequent_Spread_Sell_255d,-15.81,-0.97,-0.01,-0.1,0.02,-0.53,0.05,0.07,1013,-15.81
